"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bahamas, The",2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.721,10.628,10.957,11.792,11.839,12.162,12.803,13.262,13.71,14.231,14.785,15.346,15.91
Bahrain,3.593,4.056,4.264,4.368,4.534,4.278,3.347,3.626,4.481,4.675,4.965,5.209,5.442,5.986,6.411,6.787,7.057,7.318,6.996,7.582,9.063,9.189,9.594,11.075,13.15,15.969,18.505,21.73,25.711,22.938,25.713,28.777,30.749,32.539,33.388,31.126,32.25,35.433,38.291,38.952,40.707,42.51,44.237,46.195,48.389
Bangladesh,22.632,22.057,20.197,21.165,24.064,24.756,25.954,28.633,30.904,34.046,35.383,36.468,36.476,38.234,41.538,45.921,48.168,50.34,51.928,53.984,54.586,54.755,57.5,63.204,68.593,70.921,75.77,85.604,97.062,108.896,122.039,131.079,141.705,161.297,184.013,208.322,235.623,262.077,287.63,314.656,343.279,374.653,408.897,446.27,487.059
Barbados,1.018,1.12,1.171,1.243,1.355,1.418,1.557,1.714,1.823,2.018,2.024,2.032,1.957,2.075,2.163,2.229,2.377,2.513,2.833,2.969,3.059,3.055,3.106,3.21,3.444,3.82,4.217,4.674,4.785,4.466,4.53,4.658,4.61,4.677,4.696,4.725,4.841,4.99,5.145,5.207,5.339,5.546,5.78,6.024,6.278
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.364,11.02,15.152,10.179,13.953,13.543,14.589,11.678,12.758,12.421,14.654,17.812,23.141,30.211,36.963,45.275,60.746,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,59.643,60.951,63.664,66.991,70.147,73.471,76.203
Belgium,124.139,102.792,90.44,85.492,81.672,84.92,117.689,146.189,158.943,160.672,201.22,206.469,229.957,219.891,239.9,289.844,281.449,255.132,260.952,260.537,238.555,238.004,259.661,319.552,371.275,387.994,410.155,472.475,521.084,485.783,484.45,527.492,498.161,521.09,531.651,456.067,469.931,495.757,533.153,531.813,553.781,574.69,597.704,620.586,645.647
Belize,0.172,0.179,0.179,0.189,0.211,0.209,0.228,0.267,0.315,0.363,0.412,0.445,0.518,0.56,0.581,0.62,0.641,0.654,0.689,0.732,0.832,0.872,0.933,0.99,1.058,1.114,1.217,1.291,1.369,1.335,1.397,1.487,1.564,1.608,1.693,1.763,1.807,1.863,1.925,1.997,2.071,2.15,2.23,2.314,2.353
Benin,1.685,1.14,1.128,0.999,1.065,1.156,1.49,1.778,1.867,1.734,2.114,2.161,2.403,2.341,1.629,2.19,2.379,2.286,2.46,2.693,2.576,2.682,3.064,3.912,4.526,4.812,5.147,5.977,7.166,7.116,6.983,7.821,8.157,9.16,9.723,8.295,8.576,9.265,10.456,11.184,12.129,13.157,14.269,15.479,16.816
Bhutan,0.127,0.137,0.144,0.156,0.161,0.167,0.189,0.229,0.262,0.261,0.281,0.244,0.238,0.249,0.253,0.296,0.311,0.348,0.382,0.401,0.436,0.455,0.504,0.575,0.67,0.762,0.858,1.02,1.291,1.214,1.433,1.737,1.814,1.849,1.83,2.028,2.117,2.405,2.627,2.84,2.939,3.154,3.441,3.763,4.079
Bolivia,3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.343,5.643,5.734,5.97,6.702,7.375,7.917,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.136,12.696,16.276,16.701,18.807,22.732,26.674,30.018,32.853,32.907,34.091,38.058,41.41,43.687,47.052,50.791,54.992,59.57,64.862
