"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Germany,850.475,715.546,690.923,689.294,649.434,658.536,940.551,1170.415,1261.83,1252.635,1592.591,1868.521,2127.853,2069.687,2210.828,2593.835,2504.536,2221.402,2246.306,2202.792,1955.283,1951.98,2085.565,2510.043,2822.205,2866.046,3004.953,3444.723,3770.15,3426.672,3423.466,3761.142,3545.946,3753.687,3904.921,3383.091,3496.606,3700.613,4000.386,3963.88,4157.115,4335.205,4527.21,4713.907,4912.299
Ghana,38.219,61.792,72.037,48.515,17.332,15.379,14.228,11.932,12.678,12.897,14.898,16.673,16.484,13.383,12.303,14.544,15.458,15.786,17.153,17.756,11.467,12.227,14.2,17.494,20.243,24.521,28.785,33.941,38.413,34.254,43.043,53.645,56.504,63.279,53.173,48.595,54.989,58.978,65.191,68.258,72.264,77.628,83.74,90.497,97.375
Greece,57.01,52.605,54.878,49.603,48.329,47.936,56.421,65.682,76.447,79.25,97.963,105.633,116.466,109.022,116.678,136.942,145.872,143.326,144.644,149.412,132.198,136.284,154.307,202.272,240.774,248.184,273.547,318.94,356.14,330.837,299.919,288.062,245.807,239.937,237.406,196.69,195.303,203.493,219.097,219.752,230.5,239.694,248.374,255.865,263.4
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.127,1.196,1.272,1.33,1.395,1.463,1.534,1.608
Guatemala,7.319,7.995,8.098,8.406,8.796,10.385,5.615,6.502,7.042,8.118,7.106,8.687,9.625,10.462,11.855,13.314,14.218,16.103,17.488,16.492,17.187,18.703,20.777,21.918,23.965,27.211,30.231,34.113,39.137,37.734,41.338,47.655,50.388,53.851,58.722,63.767,68.663,75.62,78.979,82.335,87.629,93.473,99.55,106.078,114.948
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.866,6.034,7.304,8.374,8.79,8.79,8.695,10.401,11.739,12.623,13.603,14.702,15.781,16.892,18.083
Guinea-Bissau,0.171,0.219,0.249,0.281,0.195,0.287,0.28,0.237,0.221,0.266,0.324,0.456,0.5,0.386,0.435,0.46,0.438,0.416,0.376,0.406,0.364,0.38,0.41,0.477,0.532,0.588,0.592,0.697,0.869,0.829,0.851,1.099,0.99,1.046,1.055,1.048,1.179,1.35,1.459,1.538,1.669,1.808,1.962,2.129,2.316
Guyana,0.559,0.544,0.459,0.466,0.465,0.474,0.523,0.655,0.615,0.779,0.652,0.735,0.602,0.721,0.874,0.993,1.116,1.188,1.114,1.147,1.123,1.127,1.16,1.197,1.26,1.311,1.455,1.741,1.916,2.023,2.262,2.582,2.865,2.988,3.079,3.197,3.504,3.561,3.636,3.83,4.609,5.419,6.013,7.388,8.613
Haiti,1.546,1.702,1.77,1.9,2.105,2.337,2.597,1.279,0.841,0.778,0.99,0.888,0.533,0.61,1.775,2.813,2.908,3.339,3.724,4.154,3.954,3.596,3.472,2.96,3.538,4.31,4.756,5.885,6.55,6.584,6.62,7.516,7.89,8.451,8.774,8.672,8.178,8.608,9.525,9.602,9.648,10.026,10.397,10.794,11.207
Honduras,3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.104,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.649,18.529,18.499,19.757,20.98,21.718,23.101,23.778,24.651,25.56,26.637,27.743,28.942,30.217
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.644,248.484,262.601,275.673,291.438,309.359,320.877,341.679,363.031,381.72,402.034,422.347,443.822,466.307,490.32
Hungary,23.038,23.626,24.06,21.836,21.17,21.438,24.694,27.14,29.699,30.319,34.361,34.749,38.725,40.119,43.16,46.419,46.66,47.29,48.77,49.17,47.311,53.821,67.717,85.325,104.067,113.035,115.295,139.851,157.998,130.594,130.923,140.782,127.857,135.221,140.083,123.074,126.008,139.761,155.703,168.778,177.734,188.376,196.668,206.102,216.393
Iceland,3.434,3.544,3.253,2.795,2.894,3.012,4.017,5.566,6.149,5.705,6.51,6.955,7.112,6.232,6.399,7.131,7.48,7.581,8.494,8.972,9.004,8.205,9.295,11.414,13.835,16.813,17.216,21.515,17.905,13.165,13.684,15.159,14.724,16.034,17.758,17.389,20.618,24.493,25.882,24.544,26.821,28.387,29.862,31.495,33.164
India,189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,300.187,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.841,476.636,493.934,523.768,618.369,721.589,834.218,949.118,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2289.754,2652.245,2716.746,2971.996,3257.72,3577.316,3924.107,4306.293,4729.319
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.292,1022.454,1100.911,1208.857,1305.733,1399.115,1499.445,1606.73
Iran,93.531,101.451,127.557,155.942,160.074,179.718,208.782,276.875,318.601,379.167,575.265,302.498,49.423,65.03,82.405,115.703,157.347,185.727,208.928,277.095,365.946,334.323,129.778,152.973,186.857,228.18,270.333,351.769,406.212,410.557,482.384,577.214,389.199,396.408,423.409,375.404,404.445,430.709,452.275,484.663,495.694,515.317,536.268,557.624,584.007
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.722,170.518,193.521,226.07,225.257,246.932,259.534,272.68,286.547,301.907
Ireland,21.419,20.417,21.306,20.612,19.877,21.161,28.507,33.649,36.863,38.018,48.184,48.825,54.894,51.348,55.825,69.238,75.904,82.931,90.192,98.826,100.12,109.189,128.333,164.553,194.065,211.989,232.296,270.3,276.335,236.901,222.533,238.088,225.14,238.708,259.2,290.858,301.968,331.597,372.695,381.571,405.185,428.081,452.683,476.424,502.525
Israel,23.809,25.228,27.037,30.153,28.546,26.531,32.662,39.012,48.326,49.171,58.022,65.818,73.547,73.919,84.379,100.239,109.857,114.624,115.862,117.011,132.243,130.673,121.042,126.808,135.343,142.411,153.982,178.744,215.96,207.45,233.733,261.717,257.435,292.917,310.008,300.471,319.378,353.268,369.843,381.569,403.961,425.999,450.689,476.373,503.289
Italy,482.721,437.76,432.633,448.958,443.573,458.065,648.765,814.268,902.144,938.273,1170.996,1236.942,1312.572,1055.479,1088.653,1171.401,1309.287,1240.398,1267.952,1250.172,1144.881,1163.111,1270.428,1572.348,1800.203,1855.663,1944.257,2206.109,2402.06,2190.702,2129.021,2278.376,2073.971,2131.159,2155.151,1833.195,1869.973,1946.888,2072.201,2025.866,2090.448,2142.457,2200.656,2256.796,2323.028
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.516,5.529,6.543,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.211,13.864,14.152,14.108,14.773,15.422,16.152,16.717,17.503,18.365,19.273,20.227
Japan,1105.386,1218.989,1134.518,1243.324,1318.382,1398.893,2078.953,2532.809,3071.684,3054.914,3132.817,3584.42,3908.808,4454.144,4907.039,5449.118,4833.714,4414.734,4032.511,4562.079,4887.52,4303.542,4115.116,4445.659,4815.169,4755.411,4530.377,4515.263,5037.909,5231.383,5700.099,6157.458,6203.212,5155.716,4850.414,4389.476,4926.668,4859.951,4971.929,5176.205,5495.423,5807.52,6133.859,6475.893,6848.808
Jordan,3.908,4.388,4.684,4.922,4.972,5.001,6.404,6.751,6.324,4.252,4.161,4.345,5.369,5.532,6.197,6.65,6.928,7.246,7.912,8.149,8.461,8.975,9.582,10.196,11.411,12.589,15.057,17.111,21.963,23.82,26.425,28.986,31.418,34.115,36.382,37.97,39.253,40.766,42.371,44.256,46.451,48.85,51.474,54.343,57.373
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.875,5.152,11.648,16.594,20.893,22.13,21.624,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,162.887,170.539,164.207,177.322,190.855,206.041,226.115,248.852
Kenya,10.099,9.513,9.159,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.958,35.895,37.022,40,41.672,50.422,55.125,61.547,64.236,70.876,79.212,89.205,99.246,109.116,118.892,129.616,140.929,153.191
Kiribati,0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.073,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.186,0.189,0.187,0.196,0.205,0.214,0.224,0.234
"Korea, Republic of",64.981,72.426,77.773,87.025,96.598,100.273,115.537,146.134,196.965,243.528,279.348,325.733,350.051,386.302,455.605,556.129,598.097,557.504,374.242,485.25,561.634,533.05,609.021,680.518,764.881,898.137,1011.797,1122.679,1002.219,901.935,1094.499,1202.464,1222.807,1305.605,1411.334,1382.764,1414.804,1530.751,1619.424,1656.674,1744.355,1831.937,1929.803,2035.757,2150.904
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.095,2.512,2.701,3.354,3.62,3.74,3.918,4.743,5.714,5.668,5.841,6.699,6.503,7.075,7.398,6.444,6.717,7.242,7.981,8.126,8.677,9.234,9.852,10.491,11.204
Kuwait,28.724,25.249,21.583,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.381,119.533,141.05,136.94,142.999,149.568,155.982,163.309,171.661
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.093,8.334,8.781,9.288,9.897,10.423,10.976
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266,14.363,15.916,17.069,18.434,20.153,22.013,23.977,26.101,28.411,30.922
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.694,2.728,4.532,5.41,5.97,6.527,7.178,7.534,7.941,8.351,9.553,11.753,14.377,16.949,21.466,30.946,35.763,26.238,23.809,28.496,28.141,30.26,31.385,26.986,27.707,30.524,34.881,35.721,38.102,40.403,42.822,45.266,47.975
Lebanon,4.018,3.84,2.619,3.609,4.266,3.563,2.778,3.252,3.267,2.68,2.799,4.39,5.468,7.43,8.982,10.963,12.816,15.525,17.048,17.162,17.007,17.349,18.825,19.473,21.146,21.49,22.049,24.873,29.228,35.477,38.42,40.076,44.231,46.867,48.296,49.974,51.239,53.394,56.409,58.281,60.62,63.395,66.55,69.963,73.697
Lesotho,0.47,0.477,0.397,0.436,0.391,0.312,0.359,0.468,0.531,0.552,0.666,0.756,0.877,0.876,0.923,1.038,0.983,1.036,0.955,0.937,0.911,0.754,0.825,1.193,1.488,1.596,1.634,1.891,1.755,2.074,2.525,2.779,2.655,2.506,2.647,2.351,2.442,2.733,2.762,2.811,2.892,3.041,3.2,3.353,3.498
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.874,0.906,0.927,0.748,0.897,0.949,1.119,1.373,1.726,1.768,1.998,2.398,2.721,3.065,3.137,3.163,3.277,3.284,3.249,3.221,3.217,3.266,3.437,3.499,3.712
Libya,38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.194,18.539,30.565,43.587,44.964,50.424,56.737,64.438,73.848,85.307
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.698,8.385,10.121,11.241,10.973,11.539,12.253,14.275,18.803,22.647,26.182,30.235,39.787,48.125,37.533,37.2,43.564,42.887,46.423,48.632,41.538,42.991,47.64,53.323,54.24,57.602,60.871,64.198,67.488,71.022
Luxembourg,6.46,5.571,4.575,4.491,4.403,4.562,6.638,8.244,9.339,9.944,12.68,13.738,15.39,15.778,17.558,20.655,20.547,18.503,19.341,21.173,21.322,21.287,23.689,29.608,34.722,37.408,42.45,50.959,56.114,51.501,53.312,60.06,56.709,61.759,66.209,57.233,58.985,62.441,68.77,69.634,73.693,77.529,81.622,85.58,90.046
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.811,7.323,8.195,10.586,12.092,14.79,18.341,20.917,21.475,28.124,36.708,43.032,51.552,55.348,45.362,45.322,50.559,54.545,58.055,62.158,66.673,71.689,77.086,82.99
Madagascar,4.042,3.595,3.526,3.512,2.939,2.858,3.258,2.566,2.442,2.498,3.081,2.677,3.001,3.371,2.977,3.16,3.995,3.546,3.738,3.721,3.878,4.53,4.397,5.474,4.364,5.039,5.516,7.343,9.413,8.55,8.73,9.893,9.92,10.602,10.674,9.703,9.959,11.466,12.093,12.734,13.542,14.503,15.595,16.777,18.054
Malawi,2.146,2.146,2.046,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.226,6.925,7.436,7.861,8.345,8.918,9.575,10.268
Malaysia,26.382,26.938,28.868,32.286,36.568,33.612,29.879,34.046,37.315,41.095,46.575,52.765,63.521,71.837,79.985,95.395,108.3,107.57,77.508,84.996,100.719,99.639,108.296,118.344,133.966,148.245,168.084,199.96,238.645,208.914,255.024,297.961,314.443,323.276,338.066,296.636,296.753,314.708,354.348,373.447,401.985,431.537,464.466,499.837,539.632
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.402,4.858,5.302,5.749,6.213,6.72,7.272,7.851,8.451
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.962,3.468,3.902,4.712,5.45,6.255,6.906,8.157,9.797,10.207,10.699,12.99,12.45,13.243,14.369,13.106,14.016,15.366,17.187,17.833,19.332,20.831,22.464,24.169,25.896
Malta,1.197,1.169,1.105,1.078,1.021,1.034,1.342,1.675,1.901,1.991,2.391,2.601,2.895,2.579,2.856,3.367,3.433,3.475,3.682,3.842,4.059,4.068,4.474,5.422,6.049,6.402,6.79,7.944,9.02,8.55,8.757,9.511,9.215,10.154,11.302,10.701,11.446,12.754,14.505,15.134,16.338,17.428,18.55,19.659,20.845
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.11,0.109,0.112,0.117,0.127,0.129,0.133,0.14,0.147,0.154,0.155,0.155,0.168,0.176,0.187,0.192,0.185,0.181,0.198,0.208,0.214,0.22,0.228,0.236,0.243,0.25,0.256
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.213,1.39,1.464,1.25,1.316,1.415,1.443,1.402,1.371,1.406,1.294,1.296,1.324,1.563,1.831,2.184,3.11,3.343,3.978,3.671,4.344,5.18,5.226,5.724,5.391,4.831,4.686,4.919,5.194,5.569,5.697,5.931,6.629,7.279,8.106
Mauritius,1.225,1.163,1.116,1.182,1.094,1.107,1.495,1.893,2.196,2.256,2.706,2.977,3.352,3.455,3.835,4.38,4.529,4.253,4.296,4.536,4.869,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.267,14.277,14.812,15.757,16.757,17.856,18.929,20.051
Mexico,228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,1052.697,1109.987,900.047,1057.801,1180.487,1201.094,1274.444,1314.569,1170.567,1077.83,1158.229,1223.359,1241.45,1297.751,1358.368,1424.472,1495.148,1569.978
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.326,0.316,0.318,0.315,0.331,0.363,0.374,0.383,0.389,0.396,0.401,0.407,0.413
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.036,1.333,1.39,1.73,2.033,2.314,2.036,1.406,1.578,1.777,1.995,2.377,3.118,3.587,4.091,5.282,7.267,6.526,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.404,12.037,12.793,13.527,14.311,15.134,16.022
Mongolia,3.188,3.336,3.463,3.59,3.316,3.851,4.25,4.776,4.797,4.997,3.131,3.297,1.831,0.902,1.082,1.697,1.573,1.38,1.314,1.236,1.329,1.484,1.634,1.864,2.319,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.434,13.038,13.696,14.96,16.318,17.766,19.435,21.258
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.966,1.15,1.268,1.681,2.072,2.262,2.724,3.686,4.567,4.17,4.147,4.543,4.09,4.466,4.595,4.055,4.376,4.854,5.402,5.443,5.74,6.052,6.413,6.781,7.166
Morocco,21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.346,109.709,118.309,121.35,129.056,137.248,146.209,155.821,166.242
Mozambique,5.401,4.195,4.285,3.838,3.998,5.285,6.203,2.803,2.463,2.574,4.13,3.217,2.177,2.265,2.458,2.524,3.468,4.11,4.718,5.167,4.667,4.567,4.977,5.549,6.749,7.595,8.304,9.466,11.555,11.243,10.457,13.131,15.178,16.013,16.872,14.798,10.897,12.586,14.428,15.372,16.294,17.318,18.435,20.645,23.55
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.799,7.095,9.073,8.532,7.652,9.378,11.752,13.184,14.268,17.66,25.1,31.729,39.779,54.119,58.467,60.539,63.273,63.225,60.452,61.386,68.559,65.665,71.403,78.124,85.857,94.227,103.559
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.605,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.724,12.796,11.769,11.278,13.249,13.824,13.961,14.627,15.453,16.369,17.311,18.338
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.031,0.031,0.028,0.02,0.039,0.044,0.049,0.073,0.104,0.109,0.117,0.1,0.102,0.114,0.117,0.114,0.117,0.119,0.123,0.128,0.133
Nepal,1.98,2.315,2.34,2.56,2.708,2.812,3.06,3.175,3.743,3.784,3.894,4.261,3.872,4.158,4.344,4.716,4.861,5.284,5.253,5.404,5.731,5.891,5.976,6.328,7.274,8.18,9.044,10.325,12.545,12.855,16.002,19.011,18.852,19.27,19.995,21.411,21.186,24.88,28.812,28.922,33.035,36.067,39.234,42.825,46.664
Netherlands,193.415,162.114,157.059,152.909,142.325,144.398,201.24,246.488,263.755,260.073,320.839,330.512,365.356,355.303,381.874,452.71,450.625,417.329,438.61,447.474,417.581,431.508,473.072,579.788,657.862,686.202,733.953,848.656,952.491,870.278,848.133,904.915,839.436,877.198,892.397,765.65,783.852,832.239,912.899,914.003,954.931,992.12,1032.965,1073.526,1119.684
New Zealand,22.52,23.439,23.205,22.453,22.347,22.508,27.39,36.927,45.442,44.062,45.774,43.446,41.53,44.797,52.873,62.214,69.063,68.889,56.779,58.849,54.139,53.106,62.046,82.47,101.581,113.204,109.763,134.946,135.531,121.732,145.311,167.113,175.061,186.98,199.755,175.398,185.059,200.317,203.404,210.475,224.943,239.452,254.202,268.564,283.895
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.611,13.184,13.814,13.258,12.612,12.459,12.47,12.565,12.709,13.094
Niger,2.509,2.171,2.018,1.803,1.461,1.44,1.904,2.233,2.28,2.18,2.48,2.328,2.345,2.221,1.563,1.756,1.88,1.733,1.98,1.916,1.671,1.815,2.072,2.645,2.9,3.374,3.65,4.29,5.429,5.411,5.729,6.415,6.946,7.67,8.243,7.255,7.61,8.136,9.226,9.724,10.628,11.519,13.051,14.27,15.451
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.965,568.496,493.841,405.442,376.361,397.27,444.916,496.122,551.067,613.936,681.929,756.346
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.659,9.751,10.824,11.378,10.067,10.686,11.307,12.669,12.884,13.7,14.526,15.441,16.389,17.459
Norway,64.439,63.597,62.647,61.628,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.028,163.517,161.354,154.165,162.287,171.315,174.004,195.419,228.752,264.356,308.722,345.423,401.085,462.552,386.62,429.131,498.832,510.229,523.502,499.338,386.663,371.345,399.489,434.937,427.041,438.623,449.897,463.216,476.713,490.845
Oman,6.342,7.719,8.1,8.491,9.358,10.395,8.229,8.628,8.386,9.372,11.686,11.341,12.452,12.494,12.919,13.803,15.277,15.837,13.997,15.593,19.507,19.452,20.143,21.634,24.764,31.082,37.216,42.085,60.905,48.388,57.048,68.017,76.616,78.784,81.077,68.919,65.941,70.784,82.243,79.458,84.158,87.401,90.036,93.116,96.634
Pakistan,30.938,36.599,40.012,37.369,40.572,40.565,41.543,43.437,50.107,52.256,52.426,59.556,63.727,67.442,67.998,79.451,82.968,81.806,81.49,82.514,79.705,77.931,77.937,89.727,105.612,118.481,137.229,152.362,170.853,167.875,177.166,213.588,224.384,231.218,244.361,270.556,278.655,304.952,312.57,278.019,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.145,0.155,0.162,0.153,0.164,0.185,0.188,0.193,0.197,0.183,0.183,0.193,0.215,0.225,0.246,0.293,0.304,0.29,0.297,0.31,0.324,0.337,0.351,0.365,0.38
Panama,4.039,4.571,5.05,5.185,5.412,5.726,5.95,5.976,5.167,5.181,5.632,6.193,7.04,7.688,8.198,8.38,9.881,10.677,11.575,12.13,12.304,12.502,12.994,13.694,15.013,16.374,18.145,21.296,25.156,27.117,29.44,34.686,40.43,45.6,49.921,54.092,57.958,62.284,65.206,70.155,75.494,81.26,87.451,94.112,101.273
Papua New Guinea,4.158,4.081,3.871,3.865,3.57,3.306,3.597,3.953,5.494,5.329,4.84,5.693,6.578,7.477,8.217,7.273,7.74,7.398,5.655,5.16,5.258,4.61,4.58,5.584,6.276,7.312,8.306,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.06,20.639,19.028,20.334,21.319,21.453,22.114,22.901,23.753,24.598,25.551
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.577,22.347,27.239,33.716,33.283,38.585,40.277,36.164,36.054,39.009,41.604,42.352,45.376,48.416,51.542,54.762,57.896
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.791,52.14,54.091,56.911,54.601,49.379,51.005,51.613,54.451,59.045,66.71,74.97,87.886,102.187,121.783,121.358,148.82,170.837,192.933,202.118,202.196,191.515,194.47,214.128,225.203,232.08,244.163,257.585,272.483,288.342,304.997
Philippines,36.045,39.595,41.254,36.891,34.857,33.995,33.174,36.871,42.082,47.291,49.095,50.32,58.695,60.237,71.003,82.121,91.792,91.234,72.207,82.995,81.023,76.262,81.358,83.908,91.371,103.074,122.211,149.36,173.603,168.485,199.591,224.143,250.092,271.836,284.585,292.774,304.889,313.595,330.846,356.682,389.048,424.064,466.133,512.619,563.823
Poland,56.619,53.647,65.187,75.406,75.507,70.775,73.677,63.714,68.612,66.895,62.084,80.451,88.713,90.366,103.683,139.089,156.684,157.183,172.05,167.799,171.276,190.43,198.679,217.514,255.284,306.145,344.759,429.473,533.8,440.14,479.161,528.571,500.846,524.399,545.284,477.568,471.843,526.594,586.015,593.295,643.274,695.187,753.265,816.269,883.871
